ID;RUT;DV;NOMBRES;PATERNO;MATERNO;NAC_DIA;NAC_MES;NAC_ANHO;SEXO;DIRECCION;NRO;COMUNA;POSEE_LICENCIA;LICENCIA;ANTEOJOS
54;18847278;8;JAZMIN;CASTRO;PINO;23;6;2000;1;SANTA ISABEL;4979;SANTIAGO;1;A;0
55;18857883;7;NELSON;CERDA;COLLAO;5;4;1990;2;ISLA OWEN;1889;PUDAHUEL;1;A;0
56;20089545;2;JORGE;CALDERON;SILVA;11;12;1986;2;BAHIA FITZ ROY;4820;PUENTE ALTO;1;C;0
57;5694847;3;ALICIA;GODOY;GALLARDO;2;2;1992;1;AV.CENTRAL CARDENAL SILVA HENRIQUEZ;9805;PEDRO AGUIRRE CERDA;1;C;1
58;4369250;K;DRAGUTIN;MILOJEVIC;PAVLOVICH;7;6;1996;2;PJE. PTO. PIEDRAS;9231;PUDAHUEL;1;B;1
59;15390399;9;DAVID;PEÑA;PEÑA;29;7;1988;2;CHACABUCO;6239;RENCA;1;C;0
60;15426758;1;MACARENA;AGUILERA;MARTINEZ;4;9;2003;1;BALMACEDA;5395;SAN BERNARDO;1;A;1
61;11733888;6;GABRIEL;ASTORGA;PARRA;3;7;2005;2;GUARDIAMARINA RIQUELME;8667;QUILICURA;1;A;0
62;6796322;9;PEDRO;REINUN;ORTIZ;17;2;2007;2;LOS GREMIOS;738;RENCA;0; ;0
63;17620820;1;MARIA;ALEGRIA;FERNANDEZ;27;8;1990;1;CERRO PORTEZUELO FRENTE AL;4601;QUILICURA;1;C;0
64;9210687;K;VICTOR;MUÑOZ;VILLALOBOS;23;3;2006;2;OSCAR CHANK;1729;QUINTA NORMAL;1;C;0
65;16149359;7;NATHALIE;SANDOVAL;DUARTE;29;7;1991;1;PTO. DE VALPARAISO;5861;QUILICURA;1;C;0
66;18641649;K;NICOLAS;CACERES;CARCAMO;18;10;1953;2;GRAL. GAMBINO;707;CONCHALI;1;A;0
67;10557621;8;HUGO;GONZALEZ;MATURANA;9;1;1986;2;SANTO TOMAS;1537;LA GRANJA;1;C;0
68;7048279;7;SANTIAGO;CARRASCO;CONTRERAS;26;5;1990;2;LOS VILOS;7237;LAS CONDES;0; ;0
69;7656160;5;ADIEL;FIGUEROA;GAMBOA;12;7;2004;2;AV. PROVIDENCIA FRENTE AL;4307;PROVIDENCIA;1;A;0
70;3688715;K;MARIA;LAZO;HURTADO;21;8;1999;1;LOS ESCRITORES;9236;MAIPU;1;A;1
71;15851271;8;KAREN;MANDUJANO;VALLE;16;1;1975;1;AV. PEDRO DE VALDIVIA;3493;ÑUÑOA;1;C;0
72;10970432;6;MARCELO;PARIS;NUÑEZ;1;8;2005;2;LEON WEISNSTEIN;5454;ÑUÑOA;1;C;0
73;4067147;1;ABELARDO;RODRIGUEZ;OLIVARES;21;6;2006;2;BRASIL;9209;CERRILLOS;1;A;0
74;7615748;0;JOSE;PUENTES;ORIA;13;11;1985;2;PARAGUAY;1091;ESTACION CENTRAL;1;A;1
75;17621497;K;MAURICIO;TAPIA;DIAZ;8;3;1983;2;IRENE FREI;2891;ESTACION CENTRAL;1;A;0
76;12673946;K;JENNIFFER;ABARCA;DELGADILLO;19;10;2005;1;LOS COIGUES;4420;PEÑALOLEN;1;B;1
77;9830127;5;CARLOS;CISTERNAS;ALARCON;24;11;1992;2;AV. RECOLETA;4285;HUECHURABA;1;C;1
78;15818075;8;MANUEL;PEÑALOZA;MENA;1;3;2006;2;VICTOR MANUEL;2053;SANTIAGO;1;C;0
79;18857851;9;JORGE+D937;JAZMEN;GONZALEZ;29;3;1998;2;CARLOS AGUIRRE LUCO;2669;HUECHURABA;1;A;0
80;13471644;4;MARIA;SALINAS;LOPEZ;6;10;1998;1;JORGE CANNING;7696;SAN JOAQUIN;1;A;0
81;13804979;5;LORENA;BETANCUR;BUSTAMANTE;10;9;1996;1;AGUSTINAS;3020;SANTIAGO;1;A;0
82;18093511;8;ELIZABETH;ORELLANA;CARRASCO;2;4;1995;1;AV. SALVADOR GUTIERREZ;4085;CERRO NAVIA;1;A;0
83;15411399;1;JUAN;AHUMADA;SILVA;3;6;1983;2;JUAN CRISTOBAL;6793;RECOLETA;1;C;0
84;11738755;0;GLORIA;CAVIERES;SANCHEZ;16;6;1999;1;CESTEROS;4027;PEÑALOLEN;1;A;0
85;13984577;3;RIVERA;SILVA;LA;3;2;1993;2;AV. CUATRO PONIENTE;7426;MAIPU;1;C;0
86;7810867;3;RAMON;MARTINEZ;LOPEZ;4;1;1993;2;AV. PEDRO DE VALDIVIA;5387;PROVIDENCIA;1;B;0
87;16539253;1;CARLOS;VARGAS;MORALES;2;1;2001;2;ZENTENO;7069;SANTIAGO;1;A;0
88;19001399;5;NICOLAS;SALGADO;BOISIER;5;7;2001;2;CAPITAN AVALOS;4321;EL BOSQUE;1;A;0
89;16802147;K;ELVIS;SANCHEZ;SANCHEZ;9;11;1989;2;MANUEL RODRIGUEZ;1016;LA FLORIDA;1;C;1
90;18630216;8;MACARENA;TAPIA;DRAGICEVIC;18;8;1992;1;TARMA TAMBO;2968;INDEPENDENCIA;1;A;0
91;6496265;5;JOSE;ABALLAY;AHUMADA;16;5;1988;2;SAN DANIEL;6352;PUDAHUEL;1;C;0
92;9797935;9;GLORIA;CAMPOS;VARGAS;29;8;1991;1;PJE.;7765;PEÑALOLEN;1;A;0
93;6197286;2;JUAN;FIGUEROA;VARGAS;7;6;1994;2;LOS AROMOS;1141;LO PRADO;1;B;0
94;13920924;9;CLAUDIA;MUÑOZ;MENDOZA;25;1;2000;1;MONJA ALFEREZ;7229;SAN MIGUEL;1;C;0
95;5321458;4;ELIANA;GONZALEZ;ARAVENA;16;8;1991;1;ISLA JAMES;771;PUENTE ALTO;0; ;0
96;11522809;9;SANDRA;CASANOVA;NARANJO;30;12;1995;1;CARLOS LUIS GONZALEZ;7959;LA FLORIDA;0; ;0
97;8666576;K;RODI;TAPIA;NEGRON;25;1;2001;1;EL OLIVO;5362;CONCHALI;1;A;1
98;6978782;7;VICTOR;CORTEZ;RIVERA;14;4;1985;2;PJE. RENATO ZANELLI;6642;LA FLORIDA;1;A;0
99;19259289;5;EDUARDO;HERRERA;GALVEZ;5;3;1999;2;ESTACION PAILLACO;5895;PUENTE ALTO;1;C;0
100;16518313;4;CRISTIAN;MALDONADO;CASTRO;8;11;2002;2;HUERFANOS FRENTE AL;5314;SANTIAGO;1;A;0
101;18168106;3;FERNANDA;PUA;DIAZ;11;4;1979;1;GABRIELA ORIENTE;4252;PUENTE ALTO;0; ;0
102;12958530;7;MARGARITA;ALAMOS;ROJAS;15;3;1988;1;PJE. PEGASO;9329;LO ESPEJO;1;B;0
103;11254098;9;ALEJANDRO;CORTES;MOYA;21;9;2006;2;BELLAVISTA;6748;RECOLETA;1;C;1
104;15250588;4;LUZMIRA;DIAZ;SANHUEZA;18;7;1981;1;JOSE MIGUEL INFANTE;8618;RENCA;1;A;1
105;13369418;8;FABIAN;SEPULVEDA;ARAYA;30;12;1983;2;PEDRO FONTOVA;2778;CONCHALI;1;B;0
106;13677661;4;CARLOS;TOLEDO;NEIRA;11;4;1988;2;HERRERA;5195;SANTIAGO;1;C;0
107;18627470;9;SCARLETT;LUCO;VALLE;22;3;1969;1;VICTOR CUCCUINI;4456;RECOLETA;1;A;1
108;19260060;K;ESTEBAN;PARRA;BERNALES;16;3;1991;2;3 PONIENTE;5810;MAIPU;1;A;0
109;15786529;3;MARGGI;ZAMORA;CAMPOS;9;1;1989;1;ROJAS MAGALLANES;7931;LA FLORIDA;1;A;0
110;9701353;5;GLADYS;RAMIREZ;BARRAZA;26;5;1992;1;MANANTIALES;6817;QUINTA NORMAL;1;B;0
111;12496014;2;LETICIA;SANDOVAL;NAVARRO;23;1;1984;1;HEROE JUAN BENITO JOFRE;6730;RECOLETA;0; ;0
112;19708382;4;ALEJANDRA;SANDOVAL;VERGARA;26;12;1988;1;PINTOR CICARELLI;8101;SAN JOAQUIN;1;C;0
113;13240844;0;LUIS;AMADOR;MUÑOZ;29;3;1991;2;PIRAMIDE;1986;SAN MIGUEL;1;C;0
114;17232999;3;CAMILA;ELGUETA;FIGUEROA;26;2;1990;1;MANQUEHUE NORTE;2803;VITACURA;1;A;0
115;6363282;1;JUAN;VILLABLANCA;GONZALEZ;2;3;1995;2;SARA GAJARDO;4491;CERRO NAVIA;1;A;0
116;7450170;2;PATRICIA;MARDONES;GALVEZ;26;11;1997;1;ROSARIO CORTEZ;6813;SAN BERNARDO;0; ;0
117;15625354;5;JAVIER;MIRANDA;MIRANDA;12;11;1998;2;RIO CLARO;7912;PEÑALOLEN;1;A;0
118;9830381;2;GALEX;GOMEZ;MUÑOZ;10;4;1995;2;PJE. GALVARINO;6662;QUILICURA;1;A;0
119;15317645;0;NICOLAS;MELLA;CAMPUSANO;5;4;1991;2;CARLOS ANTUNEZ;1700;PROVIDENCIA;1;A;0
120;5227719;1;PODALIRO;SEPULVEDA;RETAMAL;28;9;2001;2;VICTORINO LAYNEZ;9916;QUINTA NORMAL;1;A;1
121;6437904;6;SOLEDAD;CUELLO;DIAZ;2;10;1992;1;EL HUERTO;6765;MAIPU;1;C;0
122;18293910;2;MARIANA;ZAMORA;OLIVARES;20;3;1999;1;AV. LAZO;750;PEDRO AGUIRRE CERDA;1;C;0
123;9701537;6;MIGUEL;VARGAS;GONZALEZ;16;5;1986;2;HEROE GREGORIO MALDONADO;1605;RECOLETA;1;C;1
124;12485844;5;GLORIA;GOMEZ;ASTETE;17;1;1986;1;AV. LIBERTADOR BERNARDO OHIGGINS;8280;ESTACION CENTRAL;0; ;0
125;18622763;8;KAREN;RODRIGUEZ;MIRANDA;9;2;1999;1;BACTEOROLOGICO;4649;LA FLORIDA;1;C;0
126;12651682;7;MAURICIO;VARGAS;HERNANDEZ;12;10;1995;2;ALMENDRAL;9124;PUDAHUEL;1;C;0
127;20136465;5;JORDAN;ARMIJO;RIQUELME;24;2;1987;2;ARTURO PRAT;8175;RENCA;1;B;0
128;7548732;0;ELENA;MIRANDA;GARCIA;19;5;1991;1;AV. LAGUNA SUR;9681;PUDAHUEL;1;C;0
129;18623060;4;ESTEFANIA;CASANOVA;MONTENEGRO;31;3;1998;1;SALAR DEL CARMEN;3152;QUILICURA;1;A;1
130;6005013;9;JOSE;GUTIERREZ;ALMENDRAS;8;11;1993;2;AV. INDEPENDENCIA;4454;INDEPENDENCIA;1;A;0
131;11209533;0;VICTORIA;PEÑA;IBARRA;2;9;1989;1;EL LINGUE;1132;LA PINTANA;1;A;1
132;18948293;0;EDUARDO;DIAZ;GARRIDO;2;10;1999;2;AV. RAMON VENEGAS;8448;PUENTE ALTO;1;A;0
133;9125843;9;LUIS;VARGAS;CABRALES;13;6;1988;2;RADAL;7810;QUINTA NORMAL;1;A;0
134;14478613;0;ROMILIO;LOZA;ARAYA;23;5;1981;2;CAMINO CIRCUNVALACION NORTE;5510;LO BARNECHEA;1;C;0
135;6664217;8;ROSA;GUERRA;OLGA;20;1;1997;1;NUEVA HORIZONTE;4415;EL BOSQUE;1;B;0
136;6373952;9;GONZALO;HERRERA;AGUIRRE;30;10;1979;2;OBISPO JAVIER VASQUEZ VALENCIA;3975;LO ESPEJO;1;B;0
137;3278390;2;DIEGO;CASANOVA;DIAZ;14;3;2003;2;BRASIL;5254;RENCA;1;C;0
138;18861454;K;IGNACIO;VALLES;MAGNANI;26;4;1984;2;LA GALAXIA;6498;MAIPU;1;B;0
139;7365068;2;PAZ;MUÑOZ;LA;26;1;2001;1;LOS ZAFIROS;8826;EL BOSQUE;1;A;0
140;12874841;5;JOSE;SILVA;ACEVEDO;22;1;2000;2;LA TRAVESIA;9690;PUDAHUEL;1;C;0
141;10188456;2;LORENZO;VELIZ;MORALES;2;3;2002;2;ARTURO PRAT;1605;SANTIAGO;1;A;0
142;9830324;3;GUSTAVO;GODOY;SEPULVEDA;8;6;1983;2;MANUEL RODRIGUEZ;6258;ESTACION CENTRAL;1;A;0
143;14184780;5;FABIAN;SILVA;VERA;13;8;1981;2;LA CAPILLA;801;CERRO NAVIA;1;B;0
144;8827476;8;CARLOS;VICENCIO;BERRIOS;4;9;2000;2;RENE OLIVARES BECERRA;2970;MAIPU;1;A;0
145;13288503;6;NATALIA;BENITEZ;MONASTERIO;21;1;1975;1;NONATO COO;2228;PUENTE ALTO;0; ;1
146;7813666;9;EDDY;GARCIA;QUIÑONES;9;10;1989;2;DEL REY;3920;MAIPU;1;C;0
147;13369444;7;FABIAN;ROCO;TREJO;18;8;1994;2;EDUARDO FREI MONTALVA;8903;LO ESPEJO;1;C;0
148;3809251;0;ALFONSO;RAMIREZ;VILLAGRAN;10;3;2006;2;ERASMO ESCALA;4875;SANTIAGO;1;A;0
149;14541445;8;BENEDICTO;CONTRERAS;AEDO;9;11;1991;2;ARTURO PRAT;8241;RENCA;0; ;0
150;6240253;9;MARIA;HIDALGO;SANTIBAÑEZ;9;12;1999;1;LA SERENA;6382;PUENTE ALTO;1;A;0
151;18331154;9;YANARA;MATUS;ALAMOS;16;4;1989;1;PJE. LAGUNA BLANCA;2437;MAIPU;1;C;0
152;18152659;9;DANIEL;MORALES;ROJAS;24;10;2006;2;SIERVAS DE MARIA;2409;HUECHURABA;1;B;0
153;16653857;2;JOAN;AMUNATEGUI;ALFARO;7;2;1988;2;DOCTOR CARLOS MIRANDA;5600;PUENTE ALTO;0; ;0
154;6011433;1;JOSE;VERA;ASTORGA;23;10;1993;2;AV. VITACURA;3118;VITACURA;1;A;0
155;4180069;0;ADRIANA;VENEGAS;ROLAN;23;2;1987;1;ENRIQUE MEIGGS;514;SANTIAGO;1;B;0
156;15446818;8;KATHERINE;INFANTE;YAÑEZ;30;10;1993;1;SAN MARTIN;1389;MAIPU;1;B;0
157;5714270;7;ADELA;SILVA;DIAZ;16;1;1986;1;JOSE GHIARDO;6195;LA GRANJA;1;C;1
158;10410464;9;MARIA;TAMAYO;AGUILERA;24;9;1970;1;AV. IRARRAZAVAL;8257;ÑUÑOA;1;B;0
159;1946824;0;OLGA;ESPINOZA;GUERRERO;3;1;1995;1;MAIPU;8444;MAIPU;0; ;0
160;12958558;7;ERIKA;SOTO;HURTADO;20;8;1989;1;UMBRAL;1959;PEÑALOLEN;1;C;1
161;10346672;5;RICARDO;CASTILLO;ORELLANA;1;8;1987;2;LAS UVAS Y EL VIENTO;8677;LA GRANJA;1;B;0
162;9069602;5;CARLOS;GRANDON;BALBOA;24;5;1989;2;SAN PABLO;6051;SANTIAGO;1;A;0
163;17623001;0;ROLANDO;VICENCIO;AHUMADA;27;11;1982;2;LOS AROMOS;2825;CERRILLOS;1;B;0
164;8003389;3;EDUARDO;ABARCA;SANCHEZ;1;9;1985;2;CLODOMIRO FIGUEROA;7014;LA GRANJA;1;C;0
165;7678180;K;ERIKA;BAZAEZ;LOBOS;12;3;2002;1;VICUNA MACKENNA;5276;SAN JOAQUIN;1;B;1
166;16978391;8;RODRIGO;FABRES;TAMAYO;29;11;1990;2;RIO QUELTEHUE;9729;PUENTE ALTO;1;A;1
167;15605646;4;KAREN;GUZMAN;AHUMADA;9;6;1998;1;URUGUAY;8485;LA CISTERNA;1;A;0
168;18628238;8;DANILO;TRONCOSO;CABRERA;7;1;2006;2;AV. PARQUE SUR;2843;MAIPU;1;A;0
169;8405482;8;ANA;BAHAMONDES;HERNANDEZ;17;3;1986;1;CALLE;1441;PEÑALOLEN;1;C;0
170;7034541;2;FRANCISCO;PEÑA;OVALLE;18;2;2004;2;ACADEMIA DE GUERRA;1969;MAIPU;1;C;0
171;14920299;4;MONICA;AMADOR;MUÑOZ;24;3;1996;1;VOLCAN VILLARRICA;9934;QUILICURA;1;A;1
172;12485083;5;PAMELA;CONTRERAS;ULLOA;7;8;1986;1;MONJITAS;8310;SANTIAGO;1;B;0
173;13036446;2;JACQUELINE;VALDES;ALVARADO;21;4;2008;1;AV. DOMINGO SANTA MARIA;7008;RENCA;1;C;0
174;8827460;1;JUAN;MIRANDA;MIRANDA;5;10;1990;2;VICTORIA;6784;MAIPU;1;A;1
175;17767012;K;JUANA;PEREZ;CARDENAS;22;9;1992;1;LOS BAQUEANOS;384;PEÑALOLEN;1;B;0
176;17621656;5;MARCELA;LIZARDI;MONTENEGRO;7;1;1983;1;LOS ARCE;8013;EL BOSQUE;1;A;1
177;8529501;2;GUILLERMO;MALDONADO;GONZALEZ;1;3;1999;2;TRONCAL SAN FRANCISCO;488;PUENTE ALTO;1;C;1
178;12655036;7;HECTOR;CORDERO;SOTO;8;8;1997;2;SAN LUIS;6025;INDEPENDENCIA;1;C;1
179;9858982;1;PABLO;DONOSO;PALYI;14;8;1989;2;LA RIOJA;6968;QUINTA NORMAL;1;A;0
180;5085046;3;PEDRO;CORNEJO;LEIVA;11;7;1992;2;PADRE FAUSTINO GAZZIERO;3868;INDEPENDENCIA;1;C;0
181;8455889;3;ALEJANDRA;MELENDEZ;VERGARA;6;5;2004;1;CENTRAL;5859;EL BOSQUE;1;C;0
182;10596622;9;CARLOS;SEPULVEDA;ACEVEDO;17;1;1992;2;CABO DE HORNOS;9117;MAIPU;1;C;0
183;16143979;7;CYNTHIA;URZUA;ARAVENA;8;3;1983;1;TRES NORTE;1320;MAIPU;1;C;0
184;12364100;0;SAMUEL;ZAMORANO;ROJAS;14;12;1990;2;PRESIDENTE KENNEDY;697;VITACURA;1;A;0
185;10201980;6;FLORENTINO;MUÑOZ;ZAMORA;27;12;1999;2;AV. INDEPENDENCIA;9477;INDEPENDENCIA;1;A;0
186;5526085;0;ARNOLDO;AVELLO;CASTRO;27;2;2006;2;SAN PABLO;1973;QUINTA NORMAL;1;C;0
187;4466449;6;HERNAN;CABRERA;SOTO;8;4;1980;2;JOSE MIGUEL CARRERA;5143;LA FLORIDA;1;A;0
188;13763473;2;NATALIA;PERALTA;GRANDON;23;3;1991;1;PABLO NERUDA;4609;PUDAHUEL;1;A;0
189;4778344;5;MAFALDA;ARAVENA;ESPINOZA;26;1;1995;1;TEMISTOCLES;9314;LO ESPEJO;1;B;0
190;19877005;1;CARLA;CASTILLO;BARRAZA;4;9;1995;1;AV. NUEVA PROVIDENCIA;8874;PROVIDENCIA;1;C;0
191;12661477;2;MOISES;FIGUEROA;BARRAZA;18;1;2002;2;CHACABUCO;3806;MAIPU;1;A;0
192;11433630;0;LUIS;LOPEZ;GONZALEZ;20;3;1993;2;BERNARDINO PARADA;687;LA PINTANA;1;C;0
193;18948315;5;EMA;COCIO;PEREZ;27;2;1981;1;AV. JAIME GUZMAN ESQ. AV. HOLANDA;2569;PROVIDENCIA;1;C;1
194;6491472;3;ISMENIA;ALARCON;HIDALGO;5;3;2003;1;DIAGONAL LAS TORRES;5158;PEÑALOLEN;1;A;0
195;14465667;9;ISOLINA;MORALES;ARAYA;31;7;1987;1;STA. INES;5088;CONCHALI;1;A;0
196;15608404;2;CAROLINA;SANCHEZ;CASTRO;27;8;2000;1;OBISPO ORREGO;4562;ÑUÑOA;1;B;0
197;7545813;4;GLADYS;VERGARA;SAAVEDRA;27;8;2003;1;LA PRIMAVERA;2263;CERRILLOS;1;B;0
198;16458256;6;SEBASTIAN;MONTALVAN;MIRANDA;19;5;1981;2;ALMIRANTE LATORRE;6690;LA PINTANA;1;A;0
199;14703391;5;ANA;RIMASCA;CARDENAS;9;11;1997;1;NUEVA IMPERIAL;1536;QUINTA NORMAL;1;C;0
200;10062767;1;JUAN;CHAVEZ;ASTORGA;30;7;1991;2;LA TRAVESIA;2775;PUDAHUEL;1;A;0
201;11729690;3;ROSA;GELDEZ;NUÑEZ;31;3;2020;1;LOBELIA;6999;HUECHURABA;0; ;0
202;5542503;5;LILIAN;DONOSO;REBOLLEDO;24;11;2001;1;BASCUNAN GUERRERO;1719;SANTIAGO;1;C;0
203;14581853;2;JOSE;MUÑOZ;DELGADILLO;2;10;2000;2;LO MARCOLETA;6183;QUILICURA;1;A;1
204;9768212;7;LUISA;SANDOVAL;MENDEZ;28;3;1986;1;EL MIRADOR;9013;CERRILLOS;1;A;1
205;12173937;2;MARYBEL;GUZMAN;PEREZ;24;12;1998;1;DOCTOR AMADOR NEGHME;9808;MACUL;1;B;0
206;8265862;9;GLADYS;URRUTIA;GUZMAN;22;10;1996;1;LAGO DEL BUDI;8760;PEÑALOLEN;1;C;0
207;16531036;5;TERESA;GOMEZ;GALLARDO;27;8;1985;1;LO CRUZAT;2092;QUILICURA;1;C;0
208;19192312;K;PATRICIO;CASTRO;ABARCA;12;11;2002;2;LORETO;2272;RECOLETA;1;A;0
209;18331923;K;PABLO;OLGUIN;SALINAS;6;8;2003;2;DEPARTAMENTAL;7801;PEDRO AGUIRRE CERDA;1;A;0
